Scan	  Chan 1	

1	-0.271301	
2	0.171509	
3	0.297852	
4	-0.391541	
5	0.318298	
6	-0.256958	
7	0.187378	
8	0.290222	
9	-0.389099	
10	0.317383	
11	-0.275879	
12	0.180969	
13	0.310669	
14	-0.392151	
15	0.313416	
16	-0.269775	
17	0.143433	
18	0.289917	
19	-0.396729	
20	0.322876	
21	-0.265503	
22	0.185547	
23	0.30426	
24	-0.396423	
25	0.308838	
26	-0.267944	
27	0.180359	
28	0.294495	
29	-0.390625	
30	0.346375	
31	-0.266724	
32	0.182495	
33	0.294189	
34	-0.399475	
35	0.301514	
36	-0.269165	
37	0.161133	
38	0.300293	
39	-0.382996	
40	0.332947	
41	-0.270996	
42	0.175781	
43	0.295105	
44	-0.398254	
45	0.32135	
46	-0.26123	
47	0.190125	
48	0.299377	
49	-0.391541	
50	0.314941	
51	-0.2771	
52	0.17334	
53	0.300903	
54	-0.391541	
55	0.318298	
56	-0.26123	
57	0.158386	
58	0.289612	
59	-0.396118	
60	0.338135	
61	-0.270386	
62	0.189209	
63	0.308838	
64	-0.392151	
65	0.310974	
66	-0.266724	
67	0.179443	
68	0.289612	
69	-0.391846	
70	0.319824	
71	-0.268555	
72	0.187683	
73	0.2948	
74	-0.391846	
75	0.314026	
76	-0.26886	
77	0.151367	
78	0.302734	
79	-0.389709	
80	0.325012	
81	-0.268555	
82	0.177002	
83	0.291748	
84	-0.400696	
85	0.298767	
86	-0.264587	
87	0.189209	
88	0.302429	
89	-0.392151	
90	0.300903	
91	-0.275574	
92	0.174561	
93	0.300598	
94	-0.394592	
95	0.32196	
96	-0.255737	
97	0.155945	
98	0.293579	
99	-0.396423	
100	0.317383	
101	-0.273743	
102	0.183105	
103	0.309143	
104	-0.39093	
105	0.328979	
106	-0.264587	
107	0.176392	
108	0.292969	
109	-0.391541	
110	0.298767	
111	-0.271606	
112	0.189209	
113	0.300293	
114	-0.393372	
115	0.305786	
116	-0.263062	
117	0.149841	
118	0.296631	
119	-0.387268	
120	0.32196	
121	-0.26947	
122	0.185547	
123	0.303955	
124	-0.400391	
125	0.314331	
126	-0.26886	
127	0.188904	
128	0.305481	
129	-0.390625	
130	0.30365	
131	-0.274963	
132	0.176086	
133	0.292358	
134	-0.395508	
135	0.334778	
136	-0.256348	
137	0.150146	
138	0.297852	
139	-0.397034	
140	0.314941	
141	-0.275574	
142	0.178223	
143	0.301514	
144	-0.390625	
145	0.344238	
146	-0.263062	
147	0.184021	
148	0.30426	
149	-0.397034	
150	0.285645	
151	-0.276184	
152	0.188904	
153	0.302124	
154	-0.388489	
155	0.324707	
156	-0.26062	
157	0.144653	
158	0.288696	
159	-0.391235	
160	0.324707	
