Scan	  Chan 1	

1	-0.335999	
2	0.312805	
3	-0.195923	
4	-0.0234985	
5	0.428772	
6	-0.359192	
7	0.293884	
8	-0.203552	
9	-0.0238037	
10	0.4422	
11	-0.336304	
12	0.309753	
13	-0.198669	
14	-0.0323486	
15	0.427856	
16	-0.340576	
17	0.302429	
18	-0.196228	
19	-0.0253296	
20	0.441589	
21	-0.348511	
22	0.296326	
23	-0.202637	
24	-0.0360107	
25	0.426941	
26	-0.357971	
27	0.310669	
28	-0.195312	
29	-0.0262451	
30	0.421448	
31	-0.34729	
32	0.296326	
33	-0.202026	
34	-0.0268555	
35	0.449829	
36	-0.338745	
37	0.308228	
38	-0.201111	
39	-0.032959	
40	0.421448	
41	-0.362244	
42	0.307312	
43	-0.195618	
44	-0.0238037	
45	0.439453	
46	-0.339966	
47	0.294189	
48	-0.202942	
49	-0.0326538	
50	0.429993	
51	-0.345459	
52	0.312195	
53	-0.194702	
54	-0.0274658	
55	0.427551	
56	-0.35553	
57	0.296326	
58	-0.199585	
59	-0.0256348	
60	0.44342	
61	-0.337524	
62	0.304871	
63	-0.202026	
64	-0.0354004	
65	0.432129	
66	-0.344543	
67	0.309143	
68	-0.195618	
69	-0.0286865	
70	0.428467	
71	-0.354004	
72	0.294495	
73	-0.203857	
74	-0.0317383	
75	0.440063	
76	-0.350342	
77	0.310974	
78	-0.195923	
79	-0.0274658	
80	0.424805	
81	-0.358582	
82	0.297852	
83	-0.198364	
84	-0.0198364	
85	0.431824	
86	-0.331726	
87	0.299377	
88	-0.202332	
89	-0.0268555	
90	0.413208	
91	-0.35553	
92	0.3125	
93	-0.195618	
94	-0.0216675	
95	0.426941	
96	-0.34729	
97	0.295105	
98	-0.203552	
99	-0.0274658	
100	0.440979	
101	-0.341187	
102	0.308533	
103	-0.198669	
104	-0.0299072	
105	0.414429	
106	-0.346375	
107	0.300293	
108	-0.196533	
109	-0.0167847	
110	0.428772	
111	-0.35675	
112	0.296021	
113	-0.202942	
114	-0.0332642	
115	0.422974	
116	-0.351868	
117	0.3125	
118	-0.196533	
119	-0.0204468	
120	0.419312	
121	-0.35614	
122	0.296631	
123	-0.202942	
124	-0.0231934	
125	0.436096	
126	-0.343628	
127	0.308533	
128	-0.2005	
129	-0.0256348	
130	0.422058	
131	-0.340576	
132	0.305481	
133	-0.197144	
134	-0.0119019	
135	0.443726	
136	-0.3479	
137	0.293884	
138	-0.203857	
139	-0.0280762	
140	0.435791	
141	-0.332336	
142	0.310974	
143	-0.196533	
144	-0.0161743	
145	0.418396	
146	-0.361023	
147	0.296021	
148	-0.201111	
149	-0.0204468	
150	0.432434	
151	-0.339661	
152	0.307312	
153	-0.202942	
154	-0.0262451	
155	0.420227	
156	-0.359802	
157	0.310059	
158	-0.196838	
159	-0.0161743	
160	0.431519	
161	-0.334167	
162	0.294495	
163	-0.205383	
164	-0.022583	
165	0.426025	
166	-0.354004	
167	0.309448	
168	-0.196533	
169	-0.0234985	
170	0.415039	
171	-0.354614	
172	0.298767	
173	-0.200195	
174	-0.0112915	
175	0.437012	
176	-0.353394	
177	0.302124	
178	-0.203552	
179	-0.0219727	
180	0.426025	
181	-0.353394	
182	0.31189	
183	-0.196838	
184	-0.0119019	
185	0.430603	
186	-0.348511	
187	0.294495	
188	-0.205078	
189	-0.0134277	
190	0.440063	
191	-0.348816	
192	0.312195	
193	-0.2005	
194	-0.0213623	
195	0.418091	
196	-0.363159	
197	0.299072	
198	-0.19928	
199	-0.00793457	
200	0.437927	
201	-0.348511	
202	0.299377	
203	-0.204468	
204	-0.017395	
205	0.419006	
206	-0.336914	
207	0.313721	
208	-0.196533	
209	-0.0109863	
210	0.423889	
211	-0.353088	
212	0.295715	
213	-0.205383	
214	-0.0125122	
215	0.441589	
216	-0.349731	
217	0.308228	
218	-0.201416	
219	-0.0177002	
220	0.419312	
221	-0.359802	
222	0.304565	
223	-0.199585	
224	-0.00579834	
225	0.431824	
226	-0.351257	
227	0.295715	
228	-0.205383	
229	-0.0161743	
230	0.42511	
231	-0.353088	
232	0.314026	
233	-0.198364	
234	-0.00427246	
235	0.427246	
236	-0.35675	
237	0.296021	
238	-0.203247	
239	-0.0012207	
240	0.434875	
241	-0.352783	
242	0.308533	
243	-0.205078	
244	-0.00793457	
245	0.423279	
246	-0.347595	
247	0.308228	
248	-0.198059	
249	0.00457764	
250	0.438843	
251	-0.361328	
252	0.294495	
253	-0.206604	
254	-0.0088501	
255	0.431213	
256	-0.349426	
257	0.312805	
258	-0.197754	
259	0.00152588	
260	0.419312	
261	-0.358887	
262	0.297241	
263	-0.203857	
264	0.00213623	
265	0.428772	
266	-0.351868	
267	0.305176	
268	-0.205078	
269	-0.00274658	
270	0.414124	
271	-0.345764	
272	0.312805	
273	-0.19928	
274	0.00946045	
275	0.431824	
276	-0.354309	
277	0.296021	
278	-0.206604	
279	0.00396729	
280	0.439453	
281	-0.349426	
282	0.31311	
283	-0.201111	
284	0.00366211	
285	0.414429	
286	-0.366211	
287	0.299988	
288	-0.201111	
289	0.0112915	
290	0.430603	
291	-0.351562	
292	0.300598	
293	-0.20752	
294	-0.0012207	
295	0.430603	
296	-0.347595	
297	0.3125	
298	-0.19989	
299	0.0180054	
300	0.430603	
301	-0.35675	
302	0.296631	
303	-0.207825	
304	0.00366211	
305	0.432739	
306	-0.344543	
307	0.312195	
308	-0.203552	
309	0.00671387	
310	0.420227	
311	-0.348206	
312	0.302734	
313	-0.201111	
314	0.0152588	
315	0.434875	
316	-0.35614	
317	0.298157	
318	-0.207214	
319	0.00640869	
320	0.418396	
321	-0.338745	
322	0.31311	
323	-0.200195	
324	0.0198364	
325	0.418091	
326	-0.360413	
327	0.297241	
328	-0.20752	
329	0.0177002	
330	0.434265	
331	-0.33905	
332	0.311279	
333	-0.204773	
334	0.0125122	
335	0.424805	
336	-0.361938	
337	0.308228	
338	-0.201416	
339	0.0219727	
340	0.431824	
341	-0.359802	
342	0.2948	
343	-0.208435	
344	0.0137329	
345	0.428467	
346	-0.354004	
347	0.314026	
348	-0.200195	
349	0.0216675	
350	0.416565	
351	-0.361023	
352	0.298157	
353	-0.206604	
354	0.0192261	
355	0.436401	
356	-0.349426	
357	0.309143	
358	-0.207214	
359	0.0152588	
360	0.420532	
361	-0.363464	
362	0.31189	
363	-0.202026	
364	0.0231934	
365	0.429077	
366	-0.358887	
367	0.295715	
368	-0.209045	
369	0.0167847	
370	0.427856	
371	-0.353699	
372	0.311584	
373	-0.201111	
374	0.0204468	
375	0.418701	
376	-0.354309	
377	0.297852	
378	-0.204773	
379	0.0311279	
380	0.431519	
381	-0.352783	
382	0.303345	
383	-0.207825	
384	0.015564	
385	0.418091	
386	-0.354309	
387	0.31311	
388	-0.202026	
389	0.0228882	
390	0.427246	
391	-0.357971	
392	0.297852	
393	-0.209351	
394	0.0186157	
395	0.433655	
396	-0.352173	
397	0.312195	
398	-0.203552	
399	0.0213623	
400	0.416565	
401	-0.360107	
402	0.300598	
403	-0.204468	
404	0.0332642	
405	0.429382	
406	-0.349426	
407	0.299683	
408	-0.20874	
409	0.0137329	
410	0.422058	
411	-0.339966	
412	0.31311	
413	-0.201111	
414	0.0302124	
415	0.427551	
416	-0.348511	
417	0.298157	
418	-0.209351	
419	0.0253296	
420	0.431824	
421	-0.340881	
422	0.311279	
423	-0.204773	
424	0.0183105	
425	0.417786	
426	-0.359192	
427	0.305481	
428	-0.202026	
429	0.0302124	
430	0.427551	
431	-0.357361	
432	0.296326	
433	-0.20813	
434	0.0149536	
435	0.423279	
436	-0.346375	
437	0.313416	
438	-0.2005	
439	0.0271606	
440	0.422058	
441	-0.350037	
442	0.298767	
443	-0.20752	
444	0.0234985	
445	0.431824	
446	-0.339661	
447	0.310059	
448	-0.205688	
449	0.0149536	
450	0.422668	
451	-0.358276	
452	0.309143	
453	-0.202026	
454	0.027771	
455	0.431213	
456	-0.348816	
457	0.295715	
458	-0.207825	
459	0.0164795	
460	0.426331	
461	-0.346985	
462	0.31189	
463	-0.200806	
464	0.020752	
465	0.413818	
466	-0.342102	
467	0.299377	
468	-0.205078	
469	0.0247192	
470	0.435791	
471	-0.343323	
472	0.307007	
473	-0.206909	
474	0.015564	
475	0.420227	
476	-0.340881	
477	0.3125	
478	-0.200806	
479	0.0280762	
480	0.427551	
481	-0.354614	
482	0.296326	
483	-0.209045	
484	0.015564	
485	0.436401	
486	-0.34729	
487	0.310974	
488	-0.201416	
489	0.0164795	
490	0.415955	
491	-0.365601	
492	0.300598	
493	-0.202942	
494	0.0253296	
495	0.432739	
496	-0.345154	
497	0.301208	
498	-0.20813	
499	0.00518799	
500	0.415955	
501	-0.358582	
502	0.312805	
503	-0.201111	
504	0.012207	
505	0.423889	
506	-0.358276	
507	0.29541	
508	-0.208435	
509	0.0180054	
510	0.435181	
511	-0.342712	
512	0.311279	
513	-0.202942	
514	0.0149536	
515	0.417175	
516	-0.366516	
517	0.302734	
518	-0.202332	
519	0.0283813	
520	0.430603	
521	-0.353699	
522	0.296021	
523	-0.20874	
524	0.017395	
525	0.421753	
526	-0.354919	
527	0.313721	
528	-0.200806	
529	0.0259399	
530	0.419922	
531	-0.365906	
532	0.297852	
533	-0.207825	
534	0.0268555	
535	0.439758	
536	-0.354919	
537	0.309143	
538	-0.206299	
539	0.020752	
540	0.415649	
541	-0.358276	
542	0.307617	
543	-0.202332	
544	0.0338745	
545	0.430908	
546	-0.361023	
547	0.296021	
548	-0.209045	
549	0.0183105	
550	0.423279	
551	-0.356445	
552	0.314026	
553	-0.201416	
554	0.0256348	
555	0.422668	
556	-0.347595	
557	0.297241	
558	-0.207214	
559	0.0311279	
560	0.432129	
561	-0.344238	
562	0.307007	
563	-0.20813	
564	0.0231934	
565	0.422363	
566	-0.345459	
567	0.3125	
568	-0.202332	
569	0.0344849	
570	0.428772	
571	-0.362244	
572	0.296631	
573	-0.209351	
574	0.0247192	
575	0.432434	
576	-0.353088	
577	0.3125	
578	-0.202637	
579	0.0308228	
580	0.416565	
581	-0.360718	
582	0.298157	
583	-0.205078	
584	0.0393677	
585	0.431213	
586	-0.345764	
587	0.304871	
588	-0.209045	
589	0.0262451	
590	0.417175	
591	-0.345764	
592	0.312805	
593	-0.202942	
594	0.0408936	
595	0.427551	
596	-0.348816	
597	0.296936	
598	-0.211182	
599	0.0366211	
600	0.431213	
601	-0.339355	
602	0.312195	
603	-0.204773	
604	0.038147	
605	0.418701	
606	-0.357971	
607	0.302124	
608	-0.205688	
609	0.0387573	
610	0.431213	
611	-0.340271	
612	0.300293	
613	-0.211182	
614	0.0402832	
615	0.420837	
616	-0.358887	
617	0.313721	
618	-0.203857	
619	0.0537109	
620	0.42572	
621	-0.362244	
622	0.296936	
623	-0.212097	
624	0.055542	
625	0.427856	
626	-0.35675	
627	0.31311	
628	-0.20752	
629	0.0479126	
630	0.418701	
631	-0.349731	
632	0.305786	
633	-0.205383	
634	0.0631714	
635	0.429993	
636	-0.351257	
637	0.296936	
638	-0.212708	
639	0.0518799	
640	0.426331	
641	-0.349731	
642	0.314941	
643	-0.204773	
644	0.0622559	
645	0.418396	
646	-0.364685	
647	0.297241	
648	-0.212402	
649	0.065918	
650	0.43335	
651	-0.348511	
652	0.310669	
653	-0.209961	
654	0.0598145	
655	0.419312	
656	-0.350647	
657	0.308533	
658	-0.205688	
659	0.0756836	
660	0.431213	
661	-0.352478	
662	0.296936	
663	-0.213318	
664	0.0671387	
665	0.428772	
666	-0.33783	
667	0.313721	
668	-0.205688	
669	0.0717163	
670	0.417175	
671	-0.361328	
672	0.299683	
673	-0.210876	
674	0.0830078	
675	0.433044	
676	-0.337219	
677	0.306396	
678	-0.213318	
679	0.0717163	
680	0.424805	
681	-0.368652	
682	0.312195	
683	-0.20752	
684	0.0830078	
685	0.430298	
686	-0.361328	
687	0.296631	
688	-0.215759	
689	0.088501	
690	0.436096	
691	-0.354004	
692	0.312805	
693	-0.20874	
694	0.0857544	
695	0.421448	
696	-0.359192	
697	0.299988	
698	-0.210876	
699	0.100098	
700	0.437622	
701	-0.349426	
702	0.303955	
703	-0.215454	
704	0.085144	
705	0.42511	
706	-0.351562	
707	0.317688	
708	-0.209656	
709	0.10498	
710	0.423584	
711	-0.355835	
712	0.298157	
713	-0.217896	
714	0.109863	
715	0.4422	
716	-0.346069	
717	0.314941	
718	-0.212708	
719	0.108643	
720	0.415344	
721	-0.350647	
722	0.304871	
723	-0.211792	
724	0.128174	
725	0.435486	
726	-0.355835	
727	0.301208	
728	-0.218201	
729	0.114136	
730	0.423279	
731	-0.349121	
732	0.315857	
733	-0.211487	
734	0.127258	
735	0.420227	
736	-0.369873	
737	0.298462	
738	-0.218506	
739	0.138855	
740	0.437622	
741	-0.353699	
742	0.314331	
743	-0.216675	
744	0.125122	
745	0.415649	
746	-0.359192	
747	0.308228	
748	-0.213013	
749	0.145874	
750	0.430603	
751	-0.366211	
752	0.298462	
753	-0.220947	
754	0.141296	
755	0.428162	
756	-0.354614	
757	0.315247	
758	-0.213013	
759	0.153503	
760	0.420837	
761	-0.366211	
762	0.301208	
763	-0.219727	
764	0.155029	
765	0.433044	
766	-0.343018	
767	0.310669	
768	-0.219421	
769	0.144958	
770	0.420227	
771	-0.369873	
772	0.313416	
773	-0.214233	
774	0.162048	
775	0.431519	
776	-0.354004	
777	0.300293	
778	-0.222168	
779	0.149536	
780	0.438843	
781	-0.35675	
782	0.315857	
783	-0.215454	
784	0.153198	
785	0.41748	
786	-0.352478	
787	0.302124	
788	-0.219116	
789	0.159912	
790	0.436707	
791	-0.348511	
792	0.305481	
793	-0.221863	
794	0.147095	
795	0.419922	
796	-0.355835	
797	0.316467	
798	-0.216064	
799	0.161133	
800	0.432434	
801	-0.360718	
802	0.300903	
803	-0.223999	
804	0.153809	
805	0.43457	
806	-0.362854	
807	0.314026	
808	-0.218201	
809	0.150146	
810	0.422058	
811	-0.358582	
812	0.304565	
813	-0.219116	
814	0.164185	
815	0.43457	
816	-0.350342	
817	0.302429	
818	-0.224915	
819	0.150757	
820	0.428467	
821	-0.350342	
822	0.317383	
823	-0.218201	
824	0.163269	
825	0.423889	
826	-0.365295	
827	0.300598	
828	-0.22522	
829	0.158386	
830	0.438538	
831	-0.359192	
832	0.315552	
833	-0.221558	
834	0.151978	
835	0.419617	
836	-0.37262	
837	0.311279	
838	-0.219116	
839	0.163879	
840	0.432129	
841	-0.36499	
842	0.301208	
843	-0.226746	
844	0.150452	
845	0.423279	
846	-0.345764	
847	0.317078	
848	-0.219116	
849	0.161133	
850	0.427246	
851	-0.354004	
852	0.30304	
853	-0.22522	
854	0.162659	
855	0.437927	
856	-0.346375	
857	0.314941	
858	-0.224304	
859	0.151978	
860	0.424194	
861	-0.358887	
862	0.312805	
863	-0.220032	
864	0.16449	
865	0.43457	
866	-0.366821	
867	0.300293	
868	-0.227051	
869	0.152588	
870	0.434265	
871	-0.351257	
872	0.317383	
873	-0.220947	
874	0.158997	
875	0.422058	
876	-0.363159	
877	0.303345	
878	-0.223694	
879	0.165405	
880	0.431824	
881	-0.361328	
882	0.310974	
883	-0.227051	
884	0.153198	
885	0.422058	
886	-0.370178	
887	0.317993	
888	-0.220642	
889	0.166321	
890	0.428467	
891	-0.367126	
892	0.299377	
893	-0.229187	
894	0.15625	
895	0.432129	
896	-0.357361	
897	0.317993	
898	-0.222168	
899	0.155029	
900	0.417786	
901	-0.374756	
902	0.30365	
903	-0.224609	
904	0.167236	
905	0.437317	
906	-0.353699	
907	0.305786	
908	-0.228577	
909	0.153503	
910	0.419006	
911	-0.36438	
912	0.317993	
913	-0.222778	
914	0.167236	
915	0.428772	
916	-0.370178	
917	0.300293	
918	-0.229797	
919	0.158997	
920	0.438843	
921	-0.349731	
922	0.316162	
923	-0.226135	
924	0.153809	
925	0.421448	
926	-0.368958	
927	0.308838	
928	-0.224304	
929	0.168457	
930	0.432739	
931	-0.343323	
932	0.302734	
933	-0.230408	
934	0.154114	
935	0.428162	
936	-0.357056	
937	0.319519	
938	-0.222778	
939	0.164185	
940	0.419617	
941	-0.351562	
942	0.301208	
943	-0.230408	
944	0.163269	
945	0.43335	
946	-0.361633	
947	0.316162	
948	-0.228271	
949	0.154724	
950	0.418701	
951	-0.365295	
952	0.313416	
953	-0.223999	
954	0.167847	
955	0.430298	
956	-0.35553	
957	0.302124	
958	-0.231934	
959	0.155334	
960	0.429993	
961	-0.351257	
962	0.32074	
963	-0.224304	
964	0.162659	
965	0.419312	
966	-0.367126	
967	0.303955	
968	-0.230408	
969	0.166626	
970	0.432129	
971	-0.36499	
972	0.314331	
973	-0.231018	
974	0.153503	
975	0.419922	
976	-0.360413	
977	0.317383	
978	-0.226135	
979	0.167847	
980	0.435791	
981	-0.369873	
982	0.301514	
983	-0.23407	
984	0.155945	
985	0.428772	
986	-0.358582	
987	0.317993	
988	-0.22644	
989	0.159912	
990	0.41748	
991	-0.37323	
992	0.304565	
993	-0.229187	
994	0.168457	
995	0.430298	
996	-0.360718	
997	0.310059	
998	-0.233459	
999	0.155945	
1000	0.419006	
