Scan	  Chan 1	

1	0.419922	
2	-0.328369	
3	0.274658	
4	-0.170898	
5	-0.423279	
6	0.436096	
7	-0.306396	
8	0.28717	
9	-0.169373	
10	-0.428772	
11	0.418701	
12	-0.328064	
13	0.286865	
14	-0.163879	
15	-0.415649	
16	0.435181	
17	-0.332642	
18	0.274048	
19	-0.170593	
20	-0.426636	
21	0.427246	
22	-0.320129	
23	0.291138	
24	-0.163574	
25	-0.418091	
26	0.420532	
27	-0.328674	
28	0.275879	
29	-0.169983	
30	-0.414734	
31	0.432129	
32	-0.324707	
33	0.284424	
34	-0.170898	
35	-0.420227	
36	0.41748	
37	-0.322266	
38	0.290222	
39	-0.16449	
40	-0.413208	
41	0.429382	
42	-0.328979	
43	0.274353	
44	-0.173035	
45	-0.421753	
46	0.430908	
47	-0.322876	
48	0.289307	
49	-0.166016	
50	-0.415344	
51	0.413513	
52	-0.336304	
53	0.277405	
54	-0.167236	
55	-0.412903	
56	0.433044	
57	-0.322571	
58	0.280151	
59	-0.172119	
60	-0.419922	
61	0.41748	
62	-0.324402	
63	0.292053	
64	-0.165405	
65	-0.408936	
66	0.42572	
67	-0.327759	
68	0.274048	
69	-0.17395	
70	-0.415344	
71	0.430603	
72	-0.323486	
73	0.289307	
74	-0.168457	
75	-0.414124	
76	0.414734	
77	-0.331421	
78	0.281982	
79	-0.166321	
80	-0.410156	
81	0.437012	
82	-0.321655	
83	0.277405	
84	-0.173645	
85	-0.419006	
86	0.418091	
87	-0.325623	
88	0.291748	
89	-0.164795	
90	-0.409851	
91	0.41748	
92	-0.330505	
93	0.276794	
94	-0.171509	
95	-0.413818	
96	0.436401	
97	-0.318909	
98	0.289612	
99	-0.169983	
100	-0.415344	
101	0.415344	
102	-0.332947	
103	0.285645	
104	-0.165405	
105	-0.407104	
106	0.432129	
107	-0.325928	
108	0.274658	
109	-0.174255	
110	-0.414429	
111	0.423889	
112	-0.318909	
113	0.293884	
114	-0.1651	
115	-0.410156	
116	0.412903	
117	-0.325623	
118	0.2771	
119	-0.170898	
120	-0.408325	
121	0.434875	
122	-0.319824	
123	0.28656	
124	-0.172119	
125	-0.413513	
126	0.415344	
127	-0.328064	
128	0.291138	
129	-0.1651	
130	-0.412903	
131	0.433044	
132	-0.323792	
133	0.274963	
134	-0.17334	
135	-0.410461	
136	0.426941	
137	-0.313416	
138	0.292664	
139	-0.166321	
140	-0.411987	
141	0.415344	
142	-0.329285	
143	0.27771	
144	-0.166931	
145	-0.406189	
146	0.430298	
147	-0.319824	
148	0.282288	
149	-0.173035	
150	-0.414124	
151	0.415649	
152	-0.324707	
153	0.291443	
154	-0.166016	
155	-0.40741	
156	0.422974	
157	-0.325928	
158	0.274658	
159	-0.174866	
160	-0.412292	
161	0.431824	
162	-0.332642	
163	0.290833	
164	-0.166626	
165	-0.421448	
166	0.411987	
167	-0.332336	
168	0.279846	
169	-0.166321	
170	-0.410461	
171	0.429993	
172	-0.31311	
173	0.279541	
174	-0.171509	
175	-0.422974	
176	0.41748	
177	-0.323486	
178	0.292358	
179	-0.16571	
180	-0.408325	
181	0.416565	
182	-0.330505	
183	0.275879	
184	-0.174255	
185	-0.413208	
186	0.433044	
187	-0.325623	
188	0.290222	
189	-0.169678	
190	-0.420532	
191	0.415955	
192	-0.335693	
193	0.285034	
194	-0.167236	
195	-0.409851	
196	0.43457	
197	-0.307312	
198	0.274353	
199	-0.174255	
200	-0.417786	
201	0.424194	
202	-0.327759	
203	0.292358	
204	-0.166321	
205	-0.412598	
206	0.418701	
207	-0.309753	
208	0.276489	
209	-0.172424	
210	-0.420837	
211	0.435486	
212	-0.322876	
213	0.28717	
214	-0.170898	
215	-0.418396	
216	0.415649	
217	-0.31311	
218	0.289612	
219	-0.1651	
220	-0.418091	
221	0.428162	
222	-0.335388	
223	0.272827	
224	-0.172119	
225	-0.418396	
226	0.428772	
227	-0.309753	
228	0.291443	
229	-0.164795	
230	-0.41626	
231	0.412903	
232	-0.337524	
233	0.27771	
234	-0.169983	
235	-0.414429	
236	0.433044	
237	-0.317078	
238	0.281982	
239	-0.171204	
240	-0.417786	
241	0.415344	
242	-0.331421	
243	0.291748	
244	-0.16571	
245	-0.412598	
246	0.424805	
247	-0.324402	
248	0.275269	
249	-0.171204	
250	-0.415955	
251	0.431213	
252	-0.319214	
253	0.289612	
254	-0.166321	
255	-0.417175	
256	0.418091	
257	-0.328064	
258	0.280151	
259	-0.167236	
260	-0.416565	
261	0.429993	
262	-0.327759	
263	0.2771	
264	-0.170898	
265	-0.419617	
266	0.421448	
267	-0.313416	
268	0.292053	
269	-0.163879	
270	-0.413513	
271	0.415344	
272	-0.330505	
273	0.274963	
274	-0.173035	
275	-0.414429	
276	0.435486	
277	-0.325928	
278	0.289612	
279	-0.169373	
280	-0.415955	
281	0.418396	
282	-0.319214	
283	0.284424	
284	-0.165405	
285	-0.413818	
286	0.428467	
287	-0.329895	
288	0.274048	
289	-0.17395	
290	-0.418091	
291	0.422668	
292	-0.322266	
293	0.291138	
294	-0.16449	
295	-0.414429	
296	0.422058	
297	-0.322266	
298	0.275879	
299	-0.170898	
300	-0.414429	
301	0.430908	
302	-0.322876	
303	0.287476	
304	-0.170898	
305	-0.413818	
306	0.419617	
307	-0.32135	
308	0.287476	
309	-0.164795	
310	-0.411682	
311	0.429993	
312	-0.33783	
313	0.274658	
314	-0.17334	
315	-0.415344	
316	0.430298	
317	-0.328979	
318	0.291443	
319	-0.166931	
320	-0.40802	
321	0.413513	
322	-0.326233	
323	0.277405	
324	-0.169067	
325	-0.405273	
326	0.43457	
327	-0.324707	
328	0.283813	
329	-0.172424	
330	-0.40863	
331	0.413513	
332	-0.328064	
333	0.292053	
334	-0.166016	
335	-0.400085	
336	0.423889	
337	-0.323792	
338	0.276489	
339	-0.17395	
340	-0.402832	
341	0.431519	
342	-0.32074	
343	0.291748	
344	-0.169373	
345	-0.39856	
346	0.412903	
347	-0.333252	
348	0.280762	
349	-0.169678	
350	-0.39032	
351	0.429077	
352	-0.328979	
353	0.279541	
354	-0.175171	
355	-0.394592	
356	0.41748	
357	-0.317688	
358	0.292358	
359	-0.168152	
360	-0.385437	
361	0.418701	
362	-0.327759	
363	0.276794	
364	-0.176697	
365	-0.383301	
366	0.43335	
367	-0.323792	
368	0.290833	
369	-0.172119	
370	-0.381165	
371	0.419312	
372	-0.336609	
373	0.284119	
374	-0.170593	
375	-0.370789	
376	0.431519	
377	-0.324707	
378	0.27771	
379	-0.177002	
380	-0.377502	
381	0.423279	
382	-0.327759	
383	0.294495	
384	-0.169067	
385	-0.361938	
386	0.417786	
387	-0.32196	
388	0.278015	
389	-0.175781	
390	-0.359192	
391	0.430298	
392	-0.330505	
393	0.289612	
394	-0.177002	
395	-0.359802	
396	0.418701	
397	-0.325928	
398	0.290833	
399	-0.170898	
400	-0.348206	
401	0.432129	
402	-0.322266	
403	0.276489	
404	-0.177917	
405	-0.35553	
406	0.427856	
407	-0.336609	
408	0.294495	
409	-0.171204	
410	-0.336914	
411	0.411377	
412	-0.328979	
413	0.278625	
414	-0.175171	
415	-0.328064	
416	0.435791	
417	-0.317993	
418	0.28717	
419	-0.180054	
420	-0.330811	
421	0.420227	
422	-0.339355	
423	0.29541	
424	-0.171204	
425	-0.322266	
426	0.427856	
427	-0.341187	
428	0.278931	
429	-0.179749	
430	-0.313416	
431	0.431824	
432	-0.334167	
433	0.295105	
434	-0.174255	
435	-0.30426	
436	0.413208	
437	-0.335083	
438	0.283203	
