Scan	  Chan 1	

1	0.4245	
2	-0.323181	
3	0.265198	
4	-0.1651	
5	-0.408325	
6	0.423279	
7	-0.31311	
8	0.252075	
9	-0.166626	
10	-0.411072	
11	0.411682	
12	-0.310669	
13	0.265503	
14	-0.162659	
15	-0.413208	
16	0.426941	
17	-0.303345	
18	0.276489	
19	-0.166931	
20	-0.41687	
21	0.410156	
22	-0.325928	
23	0.279846	
24	-0.157776	
25	-0.406189	
26	0.414429	
27	-0.318909	
28	0.240173	
29	-0.172424	
30	-0.415649	
31	0.423279	
32	-0.32135	
33	0.280762	
34	-0.155029	
35	-0.41687	
36	0.402832	
37	-0.300598	
38	0.270081	
39	-0.162659	
40	-0.415344	
41	0.429993	
42	-0.314331	
43	0.270996	
44	-0.168762	
45	-0.416565	
46	0.409851	
47	-0.326538	
48	0.26001	
49	-0.166016	
50	-0.410156	
51	0.420837	
52	-0.331726	
53	0.266113	
54	-0.162354	
55	-0.418396	
56	0.419617	
57	-0.325623	
58	0.280151	
59	-0.159302	
60	-0.414429	
61	0.407104	
62	-0.336609	
63	0.274048	
64	-0.160217	
65	-0.411072	
66	0.419006	
67	-0.328674	
68	0.233154	
69	-0.17395	
70	-0.414429	
71	0.423584	
72	-0.315857	
73	0.281372	
74	-0.153503	
75	-0.41626	
76	0.407104	
77	-0.318604	
78	0.267944	
79	-0.160217	
80	-0.422974	
81	0.426941	
82	-0.300598	
83	0.278625	
84	-0.164185	
85	-0.415955	
86	0.394897	
87	-0.329895	
88	0.239868	
89	-0.166626	
90	-0.408325	
91	0.423889	
92	-0.32074	
93	0.264282	
94	-0.16571	
95	-0.424194	
96	0.415344	
97	-0.320129	
98	0.283203	
99	-0.156555	
100	-0.422058	
101	0.412903	
102	-0.314026	
103	0.266113	
104	-0.166931	
105	-0.417175	
106	0.427856	
107	-0.327148	
108	0.251465	
109	-0.172424	
110	-0.410461	
111	0.414734	
112	-0.318298	
113	0.277405	
114	-0.15564	
115	-0.419006	
116	0.412903	
117	-0.306702	
118	0.266113	
119	-0.153809	
120	-0.419006	
121	0.427551	
122	-0.327759	
123	0.282898	
124	-0.158691	
125	-0.414124	
126	0.394592	
127	-0.318909	
128	0.239258	
129	-0.169067	
130	-0.414124	
131	0.431213	
132	-0.310974	
133	0.272217	
134	-0.163879	
135	-0.422363	
136	0.404663	
137	-0.314941	
138	0.282593	
139	-0.14801	
140	-0.414124	
141	0.421753	
142	-0.334473	
143	0.265198	
144	-0.168152	
145	-0.418701	
146	0.421753	
147	-0.307617	
148	0.244751	
149	-0.16449	
150	-0.408936	
151	0.414124	
152	-0.324097	
153	0.265808	
154	-0.160828	
155	-0.418396	
156	0.419922	
157	-0.317688	
158	0.26947	
159	-0.159302	
160	-0.41748	
161	0.418701	
162	-0.318909	
163	0.282288	
164	-0.160217	
165	-0.413208	
166	0.404358	
167	-0.315247	
168	0.237122	
169	-0.173035	
