Scan	  Chan 1	

1	-0.163574	
2	-0.375366	
3	0.430603	
4	-0.308533	
5	0.270996	
6	-0.169678	
7	-0.383911	
8	0.411682	
9	-0.314026	
10	0.269165	
11	-0.13855	
12	-0.377808	
13	0.411377	
14	-0.331421	
15	0.264587	
16	-0.169983	
17	-0.39093	
18	0.430298	
19	-0.319824	
20	0.267029	
21	-0.162659	
22	-0.395508	
23	0.413208	
24	-0.318298	
25	0.270081	
26	-0.162354	
27	-0.395508	
28	0.4245	
29	-0.3302	
30	0.253906	
31	-0.147705	
32	-0.400085	
33	0.403137	
34	-0.32074	
35	0.274353	
36	-0.161438	
37	-0.39856	
38	0.40863	
39	-0.32135	
40	0.253296	
41	-0.165405	
42	-0.406189	
43	0.430603	
44	-0.290527	
45	0.27771	
46	-0.16571	
47	-0.40802	
48	0.409241	
49	-0.322266	
50	0.260315	
51	-0.142822	
52	-0.403442	
53	0.415955	
54	-0.32135	
55	0.26062	
56	-0.167236	
57	-0.420227	
58	0.414429	
59	-0.331726	
60	0.26947	
61	-0.156555	
62	-0.412292	
63	0.409546	
64	-0.307617	
65	0.266418	
66	-0.161743	
67	-0.415955	
68	0.427551	
69	-0.323181	
70	0.258484	
71	-0.150146	
72	-0.414124	
73	0.403137	
74	-0.326233	
75	0.262451	
76	-0.158386	
77	-0.410461	
78	0.416565	
79	-0.319519	
80	0.252075	
81	-0.161743	
82	-0.420532	
83	0.422668	
84	-0.310059	
85	0.272522	
86	-0.158386	
87	-0.41626	
88	0.403748	
89	-0.317383	
90	0.257874	
91	-0.140381	
92	-0.402527	
93	0.418091	
94	-0.30304	
95	0.237427	
96	-0.16571	
97	-0.420532	
98	0.413513	
99	-0.306702	
100	0.265198	
101	-0.152588	
102	-0.422668	
103	0.409546	
104	-0.303345	
105	0.261536	
106	-0.162048	
107	-0.421448	
108	0.417786	
109	-0.314636	
110	0.264893	
111	-0.148926	
112	-0.414734	
113	0.402222	
114	-0.307617	
115	0.25177	
116	-0.156555	
117	-0.418396	
118	0.41748	
119	-0.322571	
120	0.25238	
121	-0.160217	
122	-0.420227	
123	0.419312	
124	-0.30365	
125	0.272522	
126	-0.155334	
127	-0.419006	
128	0.400391	
129	-0.31189	
130	0.255127	
131	-0.148621	
132	-0.414124	
133	0.41626	
134	-0.294189	
135	0.24353	
136	-0.163574	
137	-0.427551	
138	0.404968	
139	-0.320435	
140	0.268555	
141	-0.151062	
142	-0.41626	
143	0.410156	
144	-0.302124	
145	0.257568	
146	-0.159912	
147	-0.42572	
148	0.415039	
149	-0.311584	
150	0.264587	
151	-0.1474	
152	-0.41687	
153	0.389709	
154	-0.316162	
155	0.23468	
156	-0.158081	
157	-0.420532	
158	0.414734	
159	-0.327759	
160	0.258789	
161	-0.157166	
162	-0.424805	
163	0.402832	
164	-0.30365	
165	0.270996	
166	-0.150146	
167	-0.41626	
168	0.400391	
169	-0.302429	
170	0.253601	
171	-0.152283	
172	-0.417786	
173	0.409851	
174	-0.312805	
175	0.230713	
176	-0.160522	
177	-0.421753	
178	0.403137	
179	-0.315552	
180	0.266418	
181	-0.148315	
182	-0.415649	
183	0.402832	
184	-0.301819	
185	0.252991	
186	-0.153809	
187	-0.422058	
188	0.410156	
189	-0.306396	
190	0.268555	
191	-0.146484	
192	-0.419922	
193	0.380249	
194	-0.315247	
195	0.222473	
196	-0.156555	
197	-0.418396	
198	0.411682	
199	-0.310669	
200	0.258179	
201	-0.151672	
202	-0.421448	
203	0.389709	
204	-0.296326	
205	0.270081	
206	-0.147705	
207	-0.414124	
208	0.398865	
209	-0.316162	
210	0.256653	
211	-0.153503	
212	-0.418091	
213	0.390015	
214	-0.306091	
215	0.235901	
216	-0.15686	
217	-0.42511	
218	0.391235	
219	-0.314026	
220	0.260315	
221	-0.144043	
222	-0.41687	
223	0.39093	
224	-0.307007	
225	0.256042	
226	-0.150146	
227	-0.426331	
228	0.396729	
229	-0.307312	
230	0.26947	
231	-0.147705	
232	-0.422974	
233	0.379944	
234	-0.309753	
235	0.222473	
236	-0.15686	
237	-0.41626	
238	0.404663	
239	-0.310974	
240	0.261536	
241	-0.149231	
242	-0.423889	
243	0.379639	
244	-0.306396	
245	0.266724	
246	-0.136108	
247	-0.414124	
248	0.407104	
249	-0.31311	
250	0.253601	
251	-0.153809	
252	-0.420837	
253	0.386047	
254	-0.301514	
255	0.232544	
256	-0.152283	
257	-0.41748	
258	0.391235	
259	-0.315552	
260	0.252991	
261	-0.145264	
262	-0.414124	
263	0.389404	
264	-0.292969	
265	0.256042	
266	-0.142212	
267	-0.424805	
268	0.391846	
269	-0.315857	
270	0.266113	
271	-0.143127	
272	-0.413818	
273	0.38147	
274	-0.301514	
275	0.21759	
276	-0.157776	
277	-0.41748	
278	0.40741	
279	-0.305786	
280	0.264282	
281	-0.147705	
282	-0.415955	
283	0.385437	
284	-0.297546	
285	0.260925	
286	-0.131531	
287	-0.420837	
288	0.398254	
289	-0.314026	
290	0.25238	
291	-0.153809	
292	-0.418396	
293	0.39032	
294	-0.300293	
295	0.236511	
296	-0.149231	
297	-0.408936	
298	0.395508	
299	-0.308838	
300	0.25116	
301	-0.149536	
302	-0.41626	
303	0.407715	
304	-0.292053	
305	0.264893	
306	-0.135803	
307	-0.41748	
308	0.374756	
309	-0.305176	
310	0.263062	
311	-0.144958	
312	-0.412903	
313	0.400696	
314	-0.303345	
315	0.223999	
316	-0.154419	
317	-0.413513	
318	0.400085	
319	-0.302429	
320	0.263672	
321	-0.142517	
322	-0.417175	
323	0.397949	
324	-0.305786	
325	0.255127	
326	-0.130005	
327	-0.415649	
328	0.394592	
329	-0.30426	
330	0.254517	
331	-0.153503	
332	-0.418396	
333	0.390625	
334	-0.29541	
335	0.245972	
336	-0.147095	
337	-0.408325	
338	0.394897	
339	-0.310364	
340	0.250244	
341	-0.149536	
342	-0.418396	
343	0.41748	
344	-0.296326	
345	0.263672	
346	-0.125732	
347	-0.418701	
348	0.387878	
349	-0.311584	
350	0.259399	
351	-0.147705	
352	-0.413818	
353	0.411377	
354	-0.293274	
355	0.235901	
356	-0.153809	
357	-0.418701	
358	0.386963	
359	-0.30426	
360	0.263977	
361	-0.144348	
362	-0.414429	
363	0.401306	
364	-0.305176	
365	0.248108	
366	-0.126038	
367	-0.415955	
368	0.394592	
369	-0.299988	
370	0.26062	
371	-0.153198	
372	-0.420532	
373	0.397644	
374	-0.305481	
375	0.245361	
376	-0.146484	
377	-0.411377	
378	0.394592	
379	-0.30365	
380	0.25116	
381	-0.152283	
382	-0.418396	
383	0.409546	
384	-0.301208	
385	0.258789	
386	-0.119019	
387	-0.415649	
388	0.371704	
389	-0.310974	
390	0.25177	
391	-0.148621	
392	-0.414734	
393	0.405273	
394	-0.298767	
395	0.238647	
396	-0.151672	
397	-0.418091	
398	0.40741	
399	-0.291138	
400	0.264587	
401	-0.144043	
402	-0.417175	
403	0.397949	
404	-0.305786	
