Scan	  Chan 1	

1	-0.334473	
2	0.304565	
3	-0.180664	
4	-0.118103	
5	0.430298	
6	-0.33905	
7	0.283508	
8	-0.187683	
9	-0.126648	
10	0.430908	
11	-0.325623	
12	0.302124	
13	-0.183105	
14	-0.134277	
15	0.41748	
16	-0.3302	
17	0.293579	
18	-0.18158	
19	-0.130615	
20	0.430298	
21	-0.33783	
22	0.288391	
23	-0.186157	
24	-0.147095	
25	0.416565	
26	-0.323792	
27	0.302429	
28	-0.180054	
29	-0.138855	
30	0.41626	
31	-0.325928	
32	0.28656	
33	-0.185242	
34	-0.140381	
35	0.431824	
36	-0.337219	
37	0.298462	
38	-0.184021	
39	-0.152893	
40	0.419922	
41	-0.335999	
42	0.299683	
43	-0.178223	
44	-0.155334	
45	0.426636	
46	-0.335388	
47	0.285034	
48	-0.184021	
49	-0.171509	
50	0.422363	
51	-0.317383	
52	0.301514	
53	-0.178528	
54	-0.166626	
55	0.416565	
56	-0.336304	
57	0.28595	
58	-0.180969	
59	-0.162354	
60	0.438843	
61	-0.332031	
62	0.294189	
63	-0.183411	
64	-0.174255	
65	0.415039	
66	-0.339661	
67	0.299988	
68	-0.174561	
69	-0.165405	
70	0.421753	
71	-0.339966	
72	0.284119	
73	-0.185242	
74	-0.178528	
75	0.430908	
76	-0.328064	
77	0.297852	
78	-0.177917	
79	-0.184326	
80	0.415344	
81	-0.340881	
82	0.289307	
83	-0.177612	
84	-0.183411	
85	0.423279	
86	-0.334473	
87	0.285034	
88	-0.182495	
89	-0.191956	
90	0.417175	
91	-0.334778	
92	0.299072	
93	-0.175171	
94	-0.189209	
95	0.411072	
96	-0.332947	
97	0.282898	
98	-0.18158	
99	-0.191956	
100	0.431213	
101	-0.336914	
102	0.295715	
103	-0.180969	
104	-0.2005	
105	0.416565	
106	-0.339355	
107	0.2948	
108	-0.174866	
109	-0.198669	
110	0.427551	
111	-0.326843	
112	0.279846	
113	-0.181885	
114	-0.209656	
115	0.422668	
116	-0.332031	
117	0.296631	
118	-0.17395	
119	-0.206909	
120	0.411072	
121	-0.343628	
122	0.282898	
123	-0.177917	
124	-0.204773	
125	0.426025	
126	-0.332336	
127	0.289917	
128	-0.179138	
129	-0.21698	
130	0.417175	
131	-0.322571	
132	0.297241	
133	-0.172119	
134	-0.209045	
135	0.431519	
136	-0.337524	
137	0.279236	
138	-0.180969	
139	-0.222473	
140	0.431213	
141	-0.32135	
142	0.295105	
143	-0.174561	
144	-0.224304	
145	0.413208	
