Scan	  Chan 1	

1	0.164185	
2	0.42511	
3	-0.365601	
4	0.300293	
5	-0.233459	
6	0.157471	
7	0.426331	
8	-0.364685	
9	0.314026	
10	-0.228577	
11	0.153809	
12	0.41626	
13	-0.353394	
14	0.305786	
15	-0.228271	
16	0.166016	
17	0.428162	
18	-0.344238	
19	0.30365	
20	-0.233154	
21	0.153198	
22	0.422363	
23	-0.357971	
24	0.316162	
25	-0.227051	
26	0.164185	
27	0.41748	
28	-0.364075	
29	0.301208	
30	-0.232544	
31	0.162354	
32	0.431824	
33	-0.360718	
34	0.315552	
35	-0.230103	
36	0.152588	
37	0.415344	
38	-0.366821	
39	0.310059	
40	-0.226746	
41	0.166626	
42	0.431213	
43	-0.353394	
44	0.300903	
45	-0.233765	
46	0.153198	
47	0.4245	
48	-0.357971	
49	0.317078	
50	-0.22644	
51	0.161438	
52	0.418091	
53	-0.367432	
54	0.300903	
55	-0.231934	
56	0.16571	
57	0.431824	
58	-0.359802	
59	0.3125	
60	-0.231323	
61	0.151978	
62	0.418396	
63	-0.36438	
64	0.313416	
65	-0.22644	
66	0.166626	
67	0.42511	
68	-0.35675	
69	0.300903	
70	-0.23407	
71	0.154724	
72	0.427856	
73	-0.365906	
74	0.314941	
75	-0.22644	
76	0.15686	
77	0.413818	
78	-0.351562	
79	0.301514	
80	-0.228882	
81	0.166626	
82	0.431213	
83	-0.358582	
84	0.304871	
85	-0.232849	
86	0.151672	
87	0.415955	
88	-0.360413	
89	0.314331	
90	-0.22583	
91	0.163879	
92	0.426025	
93	-0.365906	
94	0.298462	
95	-0.234375	
96	0.157166	
97	0.426025	
98	-0.36438	
99	0.314941	
100	-0.227661	
101	0.154419	
102	0.414429	
103	-0.363464	
104	0.305176	
105	-0.22644	
106	0.166931	
107	0.426025	
108	-0.365601	
109	0.301208	
110	-0.232849	
111	0.153198	
112	0.420532	
113	-0.36499	
114	0.316467	
115	-0.224915	
116	0.164185	
117	0.417786	
118	-0.362549	
119	0.301208	
120	-0.232544	
121	0.161438	
122	0.432739	
123	-0.354614	
124	0.313721	
125	-0.229187	
126	0.151672	
127	0.415649	
128	-0.362549	
129	0.309448	
130	-0.224609	
131	0.165405	
132	0.427551	
133	-0.34729	
134	0.299683	
135	-0.231323	
136	0.151367	
137	0.422058	
138	-0.354614	
139	0.315247	
140	-0.223389	
141	0.159302	
142	0.41626	
143	-0.368958	
144	0.302734	
145	-0.228577	
146	0.16449	
147	0.430298	
148	-0.361633	
149	0.311584	
150	-0.229187	
151	0.151978	
152	0.420227	
153	-0.350342	
154	0.316162	
155	-0.222778	
156	0.164185	
157	0.426331	
158	-0.361633	
159	0.299072	
160	-0.231323	
161	0.154114	
162	0.431824	
163	-0.357666	
164	0.316467	
165	-0.221863	
166	0.155334	
167	0.414734	
168	-0.370483	
169	0.302124	
170	-0.224304	
171	0.16449	
172	0.431824	
173	-0.350647	
174	0.305786	
175	-0.228271	
176	0.151367	
177	0.426636	
178	-0.362549	
179	0.317688	
180	-0.220642	
181	0.163574	
182	0.423889	
183	-0.371399	
184	0.299683	
185	-0.227966	
186	0.15686	
187	0.430603	
188	-0.359802	
189	0.314941	
190	-0.222778	
191	0.151672	
192	0.415649	
193	-0.369873	
194	0.307007	
195	-0.220642	
196	0.164185	
197	0.43335	
198	-0.348511	
199	0.300598	
200	-0.228577	
201	0.150146	
202	0.422363	
203	-0.354614	
204	0.318604	
205	-0.219421	
206	0.161743	
207	0.421753	
208	-0.361938	
209	0.300293	
210	-0.22522	
211	0.159607	
212	0.435791	
213	-0.355835	
214	0.313721	
215	-0.222778	
216	0.148621	
217	0.419617	
218	-0.364685	
219	0.310974	
220	-0.219421	
221	0.162659	
222	0.439148	
223	-0.359192	
224	0.297852	
225	-0.225525	
226	0.150146	
227	0.428467	
228	-0.356445	
