Scan	  Chan 1	

1	-0.349731	
2	0.309143	
3	-0.211792	
4	0.0909424	
5	0.418091	
6	-0.359802	
7	0.306396	
8	-0.207825	
9	0.111694	
10	0.43457	
11	-0.345154	
12	0.296631	
13	-0.216064	
14	0.10498	
15	0.426025	
16	-0.349426	
17	0.310974	
18	-0.209045	
19	0.125122	
20	0.418701	
21	-0.363464	
22	0.298157	
23	-0.21698	
24	0.128174	
25	0.438538	
26	-0.358276	
27	0.308533	
28	-0.214844	
29	0.12146	
30	0.415955	
31	-0.368347	
32	0.311279	
33	-0.211792	
34	0.135498	
35	0.432434	
36	-0.364685	
37	0.297852	
38	-0.219116	
39	0.13031	
40	0.431213	
41	-0.361938	
42	0.313721	
43	-0.213013	
44	0.146484	
45	0.416565	
46	-0.373535	
47	0.299072	
48	-0.217285	
49	0.157471	
50	0.437622	
51	-0.350037	
52	0.30426	
53	-0.220032	
54	0.144958	
55	0.423889	
56	-0.362854	
57	0.314026	
58	-0.213013	
59	0.159607	
60	0.429382	
61	-0.371094	
62	0.300293	
63	-0.222473	
64	0.149841	
65	0.431824	
66	-0.364075	
67	0.315552	
68	-0.214844	
69	0.149536	
70	0.417786	
71	-0.370789	
72	0.299683	
73	-0.218201	
74	0.160217	
75	0.433044	
76	-0.36499	
77	0.305176	
78	-0.222168	
79	0.148621	
80	0.420837	
81	-0.362854	
82	0.313721	
83	-0.21637	
84	0.159912	
85	0.419922	
86	-0.373535	
87	0.301514	
88	-0.224609	
89	0.15625	
90	0.434875	
91	-0.348816	
92	0.314941	
93	-0.219727	
94	0.151367	
95	0.419922	
96	-0.36499	
97	0.307922	
98	-0.220642	
99	0.163879	
100	0.432129	
101	-0.358276	
102	0.301208	
103	-0.227966	
104	0.151062	
105	0.421448	
106	-0.345154	
107	0.317688	
108	-0.219727	
109	0.161743	
110	0.41748	
111	-0.366821	
112	0.301208	
113	-0.22522	
114	0.162659	
115	0.431824	
116	-0.355835	
117	0.315552	
118	-0.225525	
119	0.151978	
120	0.416565	
121	-0.374756	
122	0.310059	
123	-0.222473	
124	0.166321	
125	0.432129	
126	-0.36438	
127	0.300293	
128	-0.229187	
129	0.151978	
130	0.427551	
131	-0.35553	
132	0.316772	
133	-0.221863	
134	0.161438	
135	0.413513	
136	-0.368347	
137	0.302734	
138	-0.229187	
139	0.165405	
140	0.431519	
141	-0.349426	
142	0.310059	
143	-0.228577	
144	0.153198	
145	0.416565	
146	-0.372925	
147	0.314941	
148	-0.224609	
149	0.168457	
150	0.430908	
151	-0.349121	
152	0.300598	
153	-0.230408	
154	0.155945	
155	0.426941	
156	-0.361938	
157	0.314941	
158	-0.22583	
159	0.159912	
160	0.417175	
161	-0.368652	
162	0.304565	
163	-0.229187	
164	0.167847	
165	0.427551	
166	-0.362244	
167	0.309448	
168	-0.231018	
169	0.155334	
170	0.420532	
171	-0.360413	
172	0.317383	
173	-0.223999	
174	0.168152	
175	0.422974	
176	-0.350647	
177	0.302124	
178	-0.23407	
179	0.161133	
180	0.437012	
181	-0.353394	
182	0.314941	
183	-0.228271	
184	0.158386	
185	0.413208	
186	-0.363464	
187	0.306396	
188	-0.229797	
189	0.170898	
190	0.434875	
191	-0.346985	
192	0.304871	
193	-0.236206	
194	0.157776	
195	0.41748	
196	-0.370483	
197	0.317078	
198	-0.227966	
199	0.170288	
200	0.421448	
201	-0.368652	
202	0.300598	
203	-0.236816	
204	0.167542	
205	0.429993	
206	-0.361938	
207	0.317993	
208	-0.233765	
209	0.158386	
210	0.411072	
211	-0.379639	
212	0.310059	
213	-0.230103	
214	0.171814	
215	0.429077	
216	-0.356445	
217	0.300293	
218	-0.238647	
219	0.159912	
220	0.417175	
221	-0.35675	
222	0.316772	
223	-0.230408	
224	0.169067	
225	0.419006	
226	-0.362854	
227	0.30426	
228	-0.237122	
229	0.170898	
230	0.429077	
231	-0.365295	
232	0.316467	
233	-0.236511	
234	0.159302	
235	0.413513	
236	-0.366211	
237	0.314331	
238	-0.230103	
239	0.172424	
240	0.423889	
241	-0.358276	
242	0.304565	
243	-0.239868	
244	0.161743	
245	0.429382	
246	-0.358887	
247	0.32074	
248	-0.232849	
249	0.166321	
250	0.413818	
251	-0.362854	
252	0.304565	
253	-0.237732	
254	0.172729	
255	0.428467	
256	-0.374451	
257	0.310669	
258	-0.238953	
259	0.160217	
260	0.411987	
261	-0.362244	
262	0.320435	
263	-0.234375	
264	0.175476	
265	0.432434	
266	-0.366821	
267	0.303345	
268	-0.24231	
269	0.163879	
270	0.42572	
271	-0.376892	
272	0.319824	
273	-0.236816	
274	0.162659	
275	0.419617	
276	-0.384216	
277	0.305176	
278	-0.238953	
279	0.174866	
280	0.428162	
281	-0.37262	
282	0.308533	
283	-0.24353	
284	0.162048	
285	0.415344	
286	-0.359802	
287	0.322266	
288	-0.234985	
289	0.174561	
290	0.414734	
291	-0.367126	
292	0.30304	
293	-0.245056	
294	0.168762	
295	0.427856	
296	-0.375061	
297	0.318604	
298	-0.238342	
299	0.163269	
300	0.413208	
301	-0.378418	
302	0.316162	
303	-0.239258	
304	0.177612	
305	0.431519	
306	-0.371399	
307	0.309753	
308	-0.245667	
309	0.162964	
310	0.414124	
311	-0.383911	
312	0.324097	
313	-0.237427	
314	0.173035	
315	0.414734	
316	-0.378113	
317	0.310974	
318	-0.24353	
319	0.17395	
320	0.424805	
321	-0.370483	
322	0.323486	
323	-0.242004	
324	0.164795	
325	0.417786	
326	-0.386047	
327	0.324402	
328	-0.240479	
329	0.175781	
330	0.430298	
331	-0.379944	
332	0.31189	
333	-0.249023	
334	0.162964	
335	0.418701	
336	-0.375671	
337	0.332947	
338	-0.239258	
339	0.172424	
340	0.409546	
341	-0.386353	
342	0.311279	
343	-0.244751	
344	0.175476	
345	0.427551	
346	-0.371704	
347	0.325623	
348	-0.246887	
349	0.165405	
350	0.415649	
351	-0.38147	
352	0.325012	
353	-0.241699	
354	0.179443	
355	0.429382	
356	-0.370483	
357	0.310974	
358	-0.249939	
359	0.165405	
360	0.421448	
361	-0.384216	
362	0.331116	
363	-0.24292	
364	0.171204	
365	0.40863	
366	-0.387878	
367	0.309143	
368	-0.247192	
369	0.180054	
370	0.428162	
371	-0.374756	
372	0.315857	
373	-0.249023	
374	0.165405	
375	0.411987	
376	-0.389709	
377	0.327759	
378	-0.244141	
379	0.180054	
380	0.42511	
381	-0.38208	
382	0.315552	
383	-0.250549	
384	0.169678	
385	0.422974	
386	-0.378723	
387	0.335693	
388	-0.246887	
389	0.168152	
390	0.409241	
391	-0.393982	
392	0.318298	
393	-0.246277	
394	0.180664	
395	0.42511	
396	-0.381775	
397	0.319824	
398	-0.25177	
399	0.165405	
400	0.409241	
401	-0.386047	
402	0.330811	
403	-0.244141	
404	0.180054	
405	0.415649	
406	-0.377502	
407	0.313416	
408	-0.253296	
409	0.174561	
410	0.422974	
411	-0.376282	
412	0.3302	
413	-0.249634	
414	0.168762	
415	0.41626	
416	-0.381775	
417	0.317993	
418	-0.249023	
419	0.18158	
420	0.422363	
421	-0.382996	
422	0.322266	
423	-0.254211	
424	0.167847	
425	0.413818	
426	-0.385742	
427	0.331116	
428	-0.245972	
429	0.179443	
430	0.409546	
431	-0.37384	
432	0.313416	
433	-0.253601	
434	0.178833	
435	0.424194	
436	-0.376892	
437	0.325623	
438	-0.25116	
439	0.168762	
440	0.40863	
441	-0.387268	
442	0.340576	
443	-0.247192	
444	0.1828	
445	0.419006	
446	-0.386047	
447	0.31189	
448	-0.255737	
449	0.170593	
450	0.415955	
451	-0.382385	
452	0.332336	
453	-0.246887	
454	0.176697	
455	0.406799	
456	-0.395508	
457	0.317383	
458	-0.25238	
459	0.181274	
460	0.424194	
461	-0.383301	
462	0.3302	
463	-0.254211	
464	0.168762	
465	0.410461	
466	-0.383301	
467	0.333252	
468	-0.247192	
469	0.182495	
470	0.418091	
471	-0.378723	
472	0.316772	
473	-0.256348	
474	0.170593	
475	0.421753	
476	-0.384216	
477	0.329285	
478	-0.248108	
479	0.174255	
480	0.409546	
481	-0.391846	
482	0.325623	
483	-0.251465	
484	0.180664	
485	0.420227	
486	-0.367126	
487	0.314331	
488	-0.253906	
489	0.168762	
490	0.406494	
491	-0.379639	
492	0.33844	
493	-0.249023	
494	0.1828	
495	0.410156	
496	-0.393982	
497	0.310059	
498	-0.256042	
499	0.175171	
500	0.426636	
501	-0.37262	
502	0.329285	
503	-0.252075	
504	0.170593	
505	0.402832	
506	-0.39093	
507	0.31311	
508	-0.252686	
509	0.184631	
510	0.418701	
511	-0.374451	
512	0.315857	
513	-0.257568	
514	0.170898	
515	0.411072	
516	-0.378418	
517	0.330505	
