Scan	  Chan 1	

1	0.179749	
2	0.372314	
3	-0.394287	
4	0.329285	
5	-0.263062	
6	0.192871	
7	0.365295	
8	-0.393372	
9	0.315552	
10	-0.270386	
11	0.191956	
12	0.363464	
13	-0.385437	
14	0.333252	
15	-0.269775	
16	0.182495	
17	0.335693	
18	-0.39856	
19	0.341492	
20	-0.267334	
21	0.197754	
22	0.329285	
23	-0.398865	
24	0.313416	
25	-0.274963	
26	0.184631	
27	0.316467	
28	-0.391541	
29	0.339355	
30	-0.266724	
31	0.19165	
32	0.291748	
33	-0.397644	
34	0.315247	
35	-0.271912	
36	0.19989	
37	0.278931	
38	-0.397644	
39	0.345459	
40	-0.275269	
41	0.185852	
42	0.255127	
43	-0.39978	
44	0.336609	
45	-0.269775	
46	0.200806	
47	0.243835	
48	-0.396729	
49	0.333557	
50	-0.280457	
51	0.193787	
52	0.227661	
53	-0.385742	
54	0.333252	
55	-0.274048	
56	0.19104	
57	0.202026	
58	-0.395813	
59	0.334778	
60	-0.2771	
61	0.205383	
62	0.193176	
63	-0.389099	
64	0.346985	
65	-0.283203	
66	0.193787	
67	0.170593	
68	-0.390625	
69	0.339966	
70	-0.276184	
71	0.205078	
72	0.153809	
73	-0.406799	
74	0.341492	
75	-0.284424	
76	0.206909	
77	0.141296	
78	-0.390625	
79	0.344238	
80	-0.282593	
81	0.197449	
82	0.118408	
83	-0.404053	
84	0.341187	
85	-0.278931	
86	0.212402	
87	0.115662	
88	-0.40741	
89	0.342407	
90	-0.28656	
91	0.202026	
92	0.0985718	
93	-0.395813	
94	0.349426	
95	-0.280457	
96	0.20874	
97	0.0778198	
98	-0.405273	
99	0.35553	
100	-0.283813	
101	0.218201	
102	0.0741577	
103	-0.398865	
104	0.357666	
105	-0.286255	
106	0.205994	
107	0.0592041	
108	-0.39978	
109	0.351868	
110	-0.281982	
111	0.220032	
112	0.0466919	
113	-0.396118	
114	0.333557	
115	-0.289307	
116	0.215149	
117	0.045166	
118	-0.389709	
119	0.3479	
120	-0.285339	
121	0.211792	
122	0.0280762	
123	-0.39978	
124	0.339661	
125	-0.285034	
126	0.227051	
127	0.0259399	
128	-0.391541	
129	0.338745	
130	-0.292969	
131	0.213318	
132	0.012207	
133	-0.399475	
134	0.362549	
135	-0.284729	
136	0.226746	
137	-0.00457764	
138	-0.396118	
139	0.340881	
140	-0.293579	
141	0.228577	
142	-0.0167847	
143	-0.397339	
144	0.346985	
145	-0.290833	
146	0.21698	
147	-0.0454712	
148	-0.410461	
149	0.369568	
150	-0.287781	
151	0.233765	
152	-0.0570679	
153	-0.404053	
154	0.359497	
155	-0.29541	
156	0.222168	
157	-0.0756836	
158	-0.412292	
159	0.369568	
160	-0.288696	
161	0.227966	
162	-0.110474	
163	-0.416565	
164	0.354004	
165	-0.294189	
166	0.238342	
167	-0.121155	
168	-0.411072	
169	0.372925	
170	-0.296021	
171	0.224304	
172	-0.133667	
173	-0.412598	
174	0.368042	
175	-0.290833	
176	0.240784	
177	-0.134583	
178	-0.412292	
179	0.359802	
180	-0.299072	
181	0.23468	
182	-0.133667	
183	-0.40863	
184	0.376892	
185	-0.293579	
186	0.231018	
187	-0.141296	
188	-0.419617	
189	0.366211	
190	-0.292969	
191	0.248718	
192	-0.133057	
193	-0.414429	
194	0.375671	
195	-0.299072	
196	0.23468	
197	-0.140076	
198	-0.408936	
199	0.37262	
200	-0.292664	
201	0.246887	
202	-0.142212	
203	-0.413513	
204	0.361023	
205	-0.300293	
206	0.25177	
207	-0.136719	
208	-0.404663	
209	0.382385	
210	-0.297546	
211	0.239258	
212	-0.145874	
213	-0.415649	
214	0.375366	
215	-0.296021	
216	0.256348	
217	-0.138855	
218	-0.413208	
219	0.370483	
220	-0.304871	
221	0.245361	
222	-0.143433	
223	-0.409241	
224	0.393677	
225	-0.2948	
226	0.249634	
227	-0.148621	
228	-0.413818	
229	0.376892	
230	-0.299377	
231	0.261841	
232	-0.142212	
233	-0.411377	
234	0.403137	
235	-0.307007	
236	0.248108	
237	-0.151978	
238	-0.422668	
239	0.41748	
240	-0.297546	
241	0.264893	
242	-0.150146	
243	-0.413513	
244	0.410461	
245	-0.306396	
