Scan	  Chan 1	

1	0.117188	
2	0.414429	
3	-0.366516	
4	0.317383	
5	-0.245056	
6	0.163574	
7	0.396423	
8	-0.386658	
9	0.294189	
10	-0.24231	
11	0.171814	
12	0.413513	
13	-0.370178	
14	0.293579	
15	-0.25177	
16	0.154114	
17	0.403442	
18	-0.375366	
19	0.321045	
20	-0.23468	
21	0.145569	
22	0.419312	
23	-0.371704	
24	0.299683	
25	-0.249023	
26	0.15686	
27	0.420532	
28	-0.368652	
29	0.321655	
30	-0.23407	
31	0.154114	
32	0.400696	
33	-0.383301	
34	0.274658	
35	-0.242615	
36	0.166016	
37	0.424805	
38	-0.366821	
39	0.303955	
40	-0.235291	
41	0.115662	
42	0.414124	
43	-0.363464	
44	0.320129	
45	-0.237427	
46	0.163879	
47	0.405579	
48	-0.370483	
49	0.299683	
50	-0.236206	
51	0.15564	
52	0.415649	
53	-0.372009	
54	0.291138	
55	-0.238342	
56	0.149536	
57	0.410156	
58	-0.371399	
59	0.309143	
60	-0.224915	
61	0.117188	
62	0.422974	
63	-0.362854	
64	0.297241	
65	-0.241394	
66	0.147095	
67	0.411682	
68	-0.361938	
69	0.309448	
70	-0.226135	
71	0.15686	
72	0.401001	
73	-0.369263	
74	0.268555	
75	-0.237122	
76	0.158997	
77	0.417786	
78	-0.359192	
79	0.303345	
80	-0.226135	
81	0.108337	
82	0.410156	
83	-0.353699	
84	0.305786	
85	-0.224304	
86	0.155945	
87	0.422974	
88	-0.363464	
89	0.291138	
90	-0.228882	
91	0.144653	
92	0.414124	
93	-0.360718	
94	0.283508	
95	-0.227051	
96	0.147705	
97	0.410767	
98	-0.367737	
99	0.293884	
100	-0.220032	
101	0.12207	
102	0.4245	
103	-0.343018	
104	0.294189	
105	-0.219116	
106	0.140686	
107	0.412903	
108	-0.360107	
109	0.310974	
110	-0.215759	
111	0.154724	
112	0.412903	
113	-0.361633	
114	0.252991	
115	-0.230103	
116	0.148621	
117	0.427856	
118	-0.354614	
119	0.307617	
120	-0.212708	
121	0.102234	
122	0.410767	
123	-0.356445	
124	0.292053	
125	-0.204773	
126	0.154419	
127	0.428772	
128	-0.345154	
129	0.2948	
130	-0.219727	
131	0.13916	
132	0.408936	
133	-0.358276	
134	0.266418	
135	-0.215149	
136	0.151978	
137	0.420532	
138	-0.36499	
139	0.290833	
140	-0.209351	
141	0.111084	
142	0.430908	
143	-0.348816	
144	0.298767	
145	-0.202942	
146	0.140381	
147	0.421448	
148	-0.365906	
149	0.303955	
150	-0.20752	
151	0.151367	
152	0.420532	
153	-0.352173	
154	0.26001	
155	-0.220032	
156	0.140076	
157	0.427551	
158	-0.356445	
159	0.302429	
160	-0.202637	
161	0.110168	
162	0.419006	
163	-0.352478	
164	0.286865	
165	-0.194092	
166	0.1474	
167	0.436707	
168	-0.355835	
169	0.297852	
170	-0.210571	
171	0.129395	
172	0.415955	
173	-0.343933	
174	0.272827	
175	-0.205078	
176	0.133362	
177	0.427856	
178	-0.358887	
179	0.287781	
180	-0.207825	
181	0.0756836	
182	0.427246	
183	-0.341797	
184	0.304871	
185	-0.189514	
186	0.0933838	
187	0.421448	
188	-0.351562	
189	0.293884	
190	-0.200806	
191	0.0891113	
192	0.41748	
193	-0.346985	
194	0.256042	
195	-0.20752	
196	0.0497437	
197	0.424194	
198	-0.336609	
199	0.301208	
200	-0.193787	
201	0.0302124	
202	0.404663	
203	-0.357361	
204	0.287476	
205	-0.186157	
206	0.0274658	
207	0.427856	
208	-0.337219	
209	0.298157	
210	-0.198059	
211	0.0146484	
212	0.403748	
213	-0.340271	
214	0.263672	
215	-0.196228	
216	0.0161743	
217	0.427551	
218	-0.345459	
219	0.283813	
220	-0.197754	
221	-0.0216675	
222	0.41626	
223	-0.346069	
224	0.30365	
225	-0.17395	
226	0.00152588	
227	0.406189	
228	-0.349121	
229	0.284424	
230	-0.195618	
231	-0.00701904	
232	0.413818	
233	-0.345459	
234	0.267029	
235	-0.198364	
236	-0.0192261	
237	0.411682	
238	-0.351257	
239	0.298157	
240	-0.188599	
241	-0.0259399	
242	0.411682	
243	-0.33783	
244	0.282288	
245	-0.176392	
246	-0.020752	
247	0.416565	
248	-0.344543	
249	0.297852	
250	-0.192261	
251	-0.0314331	
252	0.405273	
253	-0.350037	
254	0.266418	
255	-0.189514	
256	-0.0262451	
257	0.428772	
258	-0.341797	
259	0.283203	
260	-0.193787	
261	-0.065918	
262	0.413818	
263	-0.334778	
264	0.302734	
265	-0.161743	
266	-0.0384521	
267	0.388184	
268	-0.347595	
269	0.279236	
270	-0.193481	
271	-0.0537109	
272	0.428467	
273	-0.328064	
274	0.275574	
275	-0.187988	
276	-0.0665283	
277	0.409546	
278	-0.335693	
279	0.290222	
280	-0.185242	
281	-0.0799561	
282	0.428772	
283	-0.336304	
284	0.282288	
285	-0.16449	
286	-0.083313	
287	0.410767	
288	-0.336304	
289	0.296936	
290	-0.181885	
291	-0.0900269	
292	0.411987	
293	-0.337524	
294	0.263977	
295	-0.187378	
296	-0.0961304	
297	0.429077	
298	-0.340881	
299	0.290222	
300	-0.186768	
301	-0.127563	
302	0.415955	
303	-0.323486	
304	0.297852	
305	-0.149536	
306	-0.118713	
307	0.414429	
308	-0.345459	
309	0.27832	
310	-0.189209	
311	-0.142822	
312	0.422058	
313	-0.324402	
314	0.278625	
315	-0.175781	
316	-0.1474	
317	0.405579	
318	-0.350342	
319	0.283203	
320	-0.177612	
321	-0.163879	
322	0.427856	
323	-0.328064	
324	0.282898	
325	-0.154419	
326	-0.172424	
327	0.394592	
328	-0.333252	
329	0.296631	
330	-0.176697	
331	-0.175171	
332	0.413818	
333	-0.338745	
334	0.264893	
335	-0.180664	
336	-0.196838	
337	0.424805	
338	-0.332642	
339	0.293884	
340	-0.177917	
341	-0.209351	
342	0.411072	
343	-0.343933	
344	0.282288	
345	-0.142212	
346	-0.212708	
347	0.409851	
348	-0.327454	
349	0.276794	
350	-0.180664	
351	-0.221558	
352	0.419312	
353	-0.32135	
354	0.282288	
355	-0.170288	
356	-0.231934	
357	0.417175	
358	-0.326538	
359	0.274963	
360	-0.176697	
361	-0.247498	
362	0.432434	
363	-0.328979	
364	0.281067	
365	-0.151978	
366	-0.245972	
367	0.396423	
368	-0.325928	
369	0.285645	
370	-0.171509	
371	-0.254822	
372	0.421448	
373	-0.318909	
374	0.260925	
375	-0.175476	
376	-0.283813	
377	0.428467	
378	-0.305786	
379	0.288391	
380	-0.168762	
381	-0.293579	
382	0.413818	
383	-0.335693	
384	0.266724	
385	-0.148621	
386	-0.292053	
387	0.412903	
388	-0.326233	
389	0.276794	
390	-0.175781	
391	-0.323486	
392	0.419312	
393	-0.330505	
394	0.274963	
395	-0.163574	
396	-0.324097	
397	0.420227	
398	-0.311279	
399	0.270386	
400	-0.17334	
401	-0.343628	
402	0.431213	
403	-0.335083	
404	0.275269	
405	-0.145264	
406	-0.350342	
407	0.402527	
408	-0.3302	
409	0.274658	
410	-0.167847	
411	-0.367432	
412	0.424194	
413	-0.325012	
414	0.258484	
415	-0.168152	
416	-0.392151	
417	0.419006	
418	-0.305786	
419	0.285034	
420	-0.162048	
421	-0.391235	
422	0.415649	
423	-0.336914	
424	0.259399	
425	-0.145874	
426	-0.403137	
427	0.424805	
428	-0.315857	
429	0.280151	
430	-0.167847	
431	-0.407715	
432	0.415039	
433	-0.325012	
434	0.268555	
435	-0.157471	
436	-0.404663	
437	0.43335	
438	-0.289612	
439	0.266113	
440	-0.168762	
441	-0.415649	
442	0.423584	
443	-0.319519	
444	0.26947	
445	-0.135193	
446	-0.413818	
447	0.404663	
448	-0.319824	
449	0.265198	
450	-0.162964	
451	-0.417786	
452	0.428467	
453	-0.319824	
454	0.261841	
455	-0.162659	
456	-0.422974	
457	0.41626	
458	-0.31189	
459	0.280762	
460	-0.158081	
461	-0.419922	
462	0.419312	
463	-0.317993	
464	0.25116	
465	-0.148621	
466	-0.422668	
467	0.413513	
468	-0.314026	
469	0.262756	
470	-0.160828	
471	-0.42511	
472	0.406494	
473	-0.323181	
474	0.261536	
475	-0.157166	
476	-0.421143	
477	0.42511	
478	-0.301819	
479	0.267334	
480	-0.164185	
481	-0.42511	
482	0.40741	
483	-0.314636	
484	0.269165	
485	-0.140991	
486	-0.418396	
487	0.397644	
488	-0.319519	
489	0.247192	
490	-0.163879	
491	-0.422668	
492	0.420227	
493	-0.314026	
494	0.267944	
495	-0.155945	
496	-0.423889	
497	0.400391	
498	-0.289612	
499	0.273132	
500	-0.154114	
501	-0.420227	
502	0.410767	
503	-0.306091	
504	0.253296	
505	-0.145874	
506	-0.420837	
507	0.405273	
508	-0.298157	
509	0.244751	
510	-0.155029	
511	-0.417175	
512	0.392151	
513	-0.313416	
514	0.25238	
515	-0.154419	
516	-0.417175	
517	0.413818	
518	-0.293579	
519	0.266418	
520	-0.158691	
521	-0.421448	
522	0.393372	
523	-0.310059	
524	0.266418	
525	-0.134277	
526	-0.413818	
527	0.404358	
528	-0.310364	
529	0.231323	
530	-0.160522	
531	-0.422974	
532	0.405273	
533	-0.296936	
534	0.264282	
535	-0.147705	
536	-0.41626	
537	0.388794	
538	-0.296326	
539	0.260925	
540	-0.148926	
541	-0.415649	
542	0.401611	
543	-0.300293	
544	0.249023	
545	-0.144348	
546	-0.418701	
547	0.392151	
548	-0.306396	
549	0.245056	
550	-0.150146	
551	-0.415344	
552	0.401611	
553	-0.309753	
554	0.249634	
555	-0.153503	
556	-0.421753	
557	0.401611	
558	-0.285645	
559	0.26886	
560	-0.148926	
561	-0.423279	
562	0.39093	
563	-0.307922	
564	0.253601	
565	-0.139771	
566	-0.414429	
567	0.39093	
568	-0.30365	
569	0.233765	
570	-0.157166	
571	-0.426941	
572	0.405273	
573	-0.298462	
574	0.261841	
575	-0.141602	
576	-0.422058	
577	0.390015	
578	-0.294495	
579	0.249939	
580	-0.145264	
581	-0.417175	
582	0.430603	
583	-0.300598	
584	0.253296	
585	-0.144043	
586	-0.419006	
587	0.383606	
588	-0.307922	
589	0.235901	
590	-0.147095	
591	-0.41687	
592	0.419312	
593	-0.305481	
594	0.241394	
595	-0.14679	
596	-0.419617	
597	0.389099	
598	-0.289917	
599	0.26123	
600	-0.139465	
601	-0.414429	
602	0.384827	
603	-0.307007	
604	0.246582	
605	-0.137939	
606	-0.417175	
607	0.404663	
608	-0.300293	
609	0.205078	
610	-0.150757	
611	-0.418091	
612	0.403137	
613	-0.301514	
614	0.256348	
615	-0.134583	
616	-0.412903	
617	0.38147	
618	-0.298767	
619	0.243225	
620	-0.145264	
621	-0.41687	
622	0.413208	
623	-0.29541	
624	0.254211	
625	-0.137329	
626	-0.416565	
627	0.380249	
